,Name,Year,Kilometers_Driven,Fuel_Type,Mileage,Engine,Power,Price
71,Mahindra XUV500 W8,2015,55729,Diesel,15.1,2179,140.0,9.65
72,Hyundai i10 Sportz,2012,45178,Petrol,16.95,1197,78.9,3.48
73,Nissan Terrano XV,2015,56066,Diesel,19.64,1461,108.5,6.92
74,Honda Brio VX,2016,37300,Petrol,16.5,1198,86.8,6.46
75,Audi A6 2.0,2014,56000,Diesel,18.53,1968,187.74,29.5
76,Ford Fiesta 1.4,2008,111111,Diesel,17.8,1399,74.0,2.0
77,Toyota Innova 2.0,2006,230000,Petrol,12.4,1998,132.0,4.5
78,Toyota Innova 2.5,2012,104000,Diesel,12.8,2494,102.0,11.75
79,Hyundai Santro Xing,2005,87591,Petrol,0.0,1086,74.0,1.3
80,Maruti Swift VDI,2012,95100,Diesel,22.9,1248,74.0,3.75
81,Tata Zest Revotron,2017,70000,Petrol,17.57,1193,88.7,4.5
82,Honda Amaze SX,2016,54944,Petrol,18.0,1198,86.7,4.82
83,Ford Figo Diesel,2012,70337,Diesel,20.0,1399,68.0,2.8
84,Maruti Ritz VDi,2013,99638,Diesel,23.2,1248,73.94,3.11
85,Honda City i,2009,52000,Petrol,17.8,1497,117.3,3.25
86,BMW 5 Series,2011,75000,Diesel,16.73,1995,218.0,13.9
87,Hyundai i10 Sportz,2009,95980,Petrol,20.36,1197,78.9,2.25
88,Hyundai Grand i10,2016,16000,Petrol,18.9,1197,82.0,5.75
89,Hyundai Santro Xing,2007,73745,Petrol,17.0,1086,74.0,2.1
90,Honda Amaze SX,2016,18949,Petrol,17.8,1198,86.7,5.0
91,Toyota Fortuner 4x2,2014,107000,Diesel,13.0,2982,168.5,16.5
92,Audi A6 2011-2015,2018,48367,Diesel,17.68,1968,174.33,39.58
93,Ford Ecosport 1.5,2013,57000,Diesel,22.7,1498,89.84,5.5
94,Mahindra XUV500 W8,2014,58000,Diesel,15.1,2179,140.0,8.1
95,Honda Amaze SX,2015,30000,Diesel,25.8,1498,98.6,3.5
96,Volkswagen Polo Diesel,2013,34212,Diesel,22.07,1199,73.9,2.79
97,Hyundai Verna Transform,2010,70002,Diesel,16.2,1493,110.0,3.45
98,Maruti Wagon R,2016,62000,Petrol,18.9,998,67.1,4.45
99,Volkswagen Polo Petrol,2010,62001,Petrol,15.26,1598,103.5,2.65
100,Hyundai i20 1.4,2011,78958,Diesel,23.0,1396,90.0,3.8
101,Hyundai i20 Asta,2014,30180,Petrol,18.5,1197,82.85,4.65
102,Datsun GO Plus,2017,32851,Petrol,19.83,1198,67.0,3.95
103,Audi A4 3.0,2010,30000,Diesel,14.94,2967,241.4,9.8
104,Hyundai i20 2015-2017,2009,66000,Petrol,17.0,1197,80.0,2.7
105,Maruti Omni 5,2010,93850,Petrol,14.0,796,35.0,2.41
106,Toyota Etios Liva,2014,53000,Petrol,17.71,1197,78.9,3.9
107,Jaguar XF 3.0,2011,78000,Diesel,14.74,2993,270.9,24.0
108,Mahindra XUV500 W8,2012,65000,Diesel,16.0,2179,140.0,5.75
109,Hyundai Verna 1.6,2014,40000,Diesel,22.32,1582,126.32,5.25
110,Toyota Innova Crysta,2017,30000,Diesel,11.36,2755,171.5,19.25
111,Maruti Eeco 5,2017,38053,Petrol,15.1,1196,73.0,3.91
112,Tata Nano Twist,2014,25500,Petrol,25.4,624,37.5,2.15
113,BMW 3 Series,2015,56087,Diesel,22.69,1995,190.0,20.75
114,Honda Civic 2006-2010,2010,71088,Petrol,13.5,1799,130.0,3.35
115,Toyota Innova 2.5,2014,55000,Diesel,12.99,2494,100.6,11.11
116,Volvo V40 Cross,2014,32700,Diesel,23.3,1984,150.0,20.0
117,Nissan Micra XV,2016,39882,Petrol,19.15,1198,75.94,6.55
118,BMW 5 Series,2009,128000,Petrol,10.8,2497,215.0,7.0
119,Maruti Vitara Brezza,2016,55000,Diesel,24.3,1248,88.5,7.5
120,Hyundai Santro Xing,2005,102000,Petrol,17.0,1086,74.0,0.85
121,Mercedes-Benz B Class,2014,53753,Diesel,15.0,2143,107.3,16.75
122,Hyundai Verna CRDi,2018,10250,Diesel,22.0,1582,126.2,10.95
123,Maruti Wagon R,2011,43874,Petrol,18.9,998,67.1,2.45
124,Tata Nano XTA,2017,32684,Petrol,21.9,624,37.48,3.23
125,Mahindra Scorpio VLX,2014,42000,Diesel,12.05,2179,120.0,7.75
126,Mercedes-Benz New C-Class,2009,28352,Petrol,11.7,1796,178.0,9.35
127,Maruti Wagon R,2013,89900,CNG,26.6,998,58.16,3.25
128,Honda CR-V 2.4,2007,47700,Petrol,10.8,2354,152.0,5.25
129,Volkswagen Vento 1.5,2015,55000,Diesel,21.21,1498,103.2,7.25
130,Maruti Ciaz VXi,2017,44285,Petrol,20.73,1373,91.1,7.47
131,Mahindra XUV500 AT,2016,54000,Diesel,16.0,2179,140.0,13.25
132,Maruti Ritz VXI,2016,30232,Petrol,21.1,1197,85.8,5.81
133,Maruti Alto K10,2014,88500,Petrol,24.07,998,67.1,2.6
134,Mercedes-Benz SLC 43,2017,13372,Petrol,19.0,2996,362.07,54.0
135,Hyundai Verna VTVT,2019,12645,Petrol,17.0,1591,121.3,11.5
136,Maruti Alto LXi,2010,94385,Petrol,19.7,796,46.3,1.6
137,BMW 1 Series,2015,31821,Diesel,20.58,1995,143.0,17.22
138,Honda Jazz 1.2,2015,12000,Petrol,19.0,1199,88.7,6.0
139,Honda Civic 2006-2010,2012,88578,Petrol,13.5,1799,130.0,3.95
140,Mercedes-Benz New C-Class,2014,44965,Diesel,19.27,2143,170.0,17.95
141,Honda Amaze SX,2014,45044,Diesel,25.8,1498,98.6,3.7
142,Maruti Swift VVT,2016,34204,Petrol,22.0,1197,81.8,5.43
143,Hyundai Santro Xing,2008,80759,Petrol,17.0,1086,74.0,1.67
144,Toyota Fortuner 3.0,2012,91235,Diesel,11.5,2982,171.0,13.49
145,Chevrolet Beat LT,2014,38800,Petrol,18.6,1199,76.8,2.85
146,Skoda Rapid 1.5,2013,83000,Diesel,21.14,1498,103.52,4.75
147,Maruti Ciaz 1.4,2018,41283,Petrol,20.73,1373,91.1,9.9
148,Audi RS5 Coupe,2013,23000,Petrol,11.05,2894,444.0,37.0
149,BMW 3 Series,2014,48000,Diesel,21.76,1995,190.0,26.5
150,Audi A4 2.0,2015,48214,Diesel,17.11,1968,174.33,23.32
151,Maruti Swift VDI,2016,35000,Diesel,22.9,1248,74.0,6.25
152,Mercedes-Benz S Class,2010,35277,Petrol,7.81,5461,362.9,30.0
153,Skoda Rapid 1.5,2016,54620,Diesel,21.66,1498,103.52,9.86
154,Skoda Superb Elegance,2012,136997,Diesel,17.2,1968,138.1,8.5
155,Hyundai EON Magna,2019,14322,Petrol,21.1,814,55.2,4.23
156,Volkswagen Polo Diesel,2012,65634,Diesel,22.07,1199,73.9,3.5
157,Datsun GO NXT,2016,6000,Petrol,20.63,1198,67.06,2.5
158,Honda Brio S,2013,33280,Petrol,19.4,1198,86.8,2.39
159,Mercedes-Benz B Class,2013,29000,Petrol,14.8,1595,120.7,11.25
160,Honda City i,2015,42831,Diesel,26.0,1498,98.6,7.11
161,Toyota Innova 2.5,2016,90000,Diesel,12.99,2494,100.6,10.9
162,Maruti Swift VXI,2017,24005,Petrol,20.4,1197,81.8,6.2
163,Mahindra XUV500 W8,2012,32792,Diesel,15.1,2179,140.0,7.9
164,Ford Ecosport 1.5,2014,147898,Diesel,22.7,1498,89.84,4.42
165,Toyota Fortuner 4x2,2012,131765,Diesel,13.0,2982,168.5,13.5
166,Volkswagen Vento 1.5,2013,65000,Diesel,21.5,1498,108.5,6.25
167,Ford Figo Diesel,2010,66123,Diesel,20.0,1399,68.0,2.1
168,BMW X5 xDrive,2015,41000,Diesel,15.3,2993,258.0,45.0
169,Mercedes-Benz New C-Class,2017,23550,Diesel,19.27,2143,167.62,33.66
170,Honda Brio V,2012,45000,Petrol,19.4,1198,86.8,3.65
171,Hyundai i10 Magna,2013,60000,Petrol,20.36,1197,78.9,2.75
172,Mercedes-Benz GLC 220,2016,44414,Diesel,17.9,2143,170.0,42.5
173,Hyundai Grand i10,2019,1000,Petrol,18.9,1197,81.86,6.5
174,Audi A6 2011-2015,2012,62500,Diesel,17.68,1968,174.33,19.0
175,Volkswagen Vento Petrol,2013,21000,Petrol,14.4,1598,103.6,4.45
176,Mini Countryman Cooper,2017,8525,Diesel,16.6,1998,112.0,23.0
177,Hyundai i20 Asta,2014,29000,Diesel,22.54,1396,88.73,8.35
178,Audi A6 2011-2015,2014,40000,Diesel,17.68,1968,174.33,22.95
179,Chevrolet Beat Diesel,2012,88000,Diesel,25.44,936,57.6,1.5
180,Skoda Superb Elegance,2012,53537,Petrol,13.7,1798,157.75,6.89
181,Ford Fiesta 1.4,2006,216000,Diesel,17.8,1399,68.0,1.45
182,BMW 5 Series,2014,51000,Diesel,22.48,1995,190.0,33.5
183,Chevrolet Optra Magnum,2007,118500,Petrol,12.9,1598,102.5,1.25
184,Volkswagen Polo Diesel,2012,63000,Diesel,22.07,1199,73.9,4.2
185,Renault Lodgy 110PS,2015,25000,Diesel,19.98,1461,108.5,6.75
186,Mercedes-Benz E-Class E250,2014,37382,Diesel,13.0,2143,201.1,32.0
187,Maruti Baleno Alpha,2017,24773,Petrol,21.4,1197,83.1,7.5
188,Hyundai Verna 1.6,2012,62000,Diesel,22.32,1582,126.32,4.6
189,Hyundai i10 Magna,2017,52340,Petrol,19.81,1086,68.05,4.04
190,Mahindra Scorpio 1.99,2016,56739,Diesel,15.4,1997,120.0,10.31
191,Land Rover Range,2018,36091,Diesel,12.7,2179,187.7,55.76
192,Ford Figo Diesel,2010,120000,Diesel,20.0,1399,68.0,2.6
193,Maruti Ertiga ZDI,2016,33000,Diesel,25.47,1248,88.5,8.5
194,Honda City 1.5,2007,60006,Petrol,0.0,1197,74.0,2.95
195,Honda Amaze S,2014,52000,Diesel,25.8,1498,98.6,3.5
196,Hyundai i10 Magna,2015,43571,Petrol,20.36,1197,78.9,3.55
197,Honda Amaze S,2013,50000,Diesel,25.8,1498,98.6,3.25
198,Skoda Laura Ambiente,2008,113000,Diesel,17.5,1896,106.0,4.5
199,Renault Duster 85PS,2014,90000,Diesel,19.87,1461,83.8,5.35
200,Mahindra NuvoSport N6,2017,29000,Diesel,17.45,1493,100.0,6.5
201,Maruti Vitara Brezza,2016,20000,Diesel,24.3,1248,88.5,9.0
202,Hyundai i20 Asta,2016,61012,Petrol,18.6,1197,81.83,6.0
203,Skoda Fabia 1.4,2009,87459,Petrol,14.7,1390,85.0,2.75
204,Tata Indigo eCS,2010,70500,Petrol,15.64,1193,64.1,1.5
205,Audi Q3 2012-2015,2015,64103,Diesel,15.73,1968,174.33,19.9
206,Skoda Octavia Elegance,2014,76000,Petrol,14.7,1798,177.5,10.0
207,Toyota Etios Liva,2014,104000,Diesel,23.59,1364,67.06,3.0
208,Maruti Swift 1.3,2010,42001,Petrol,16.1,1197,74.0,2.11
209,Mercedes-Benz B Class,2014,37245,Petrol,14.8,1595,120.7,11.96
210,Honda Amaze S,2013,45000,Diesel,27.4,1498,98.6,3.25
211,Hyundai Verna 1.6,2012,117837,Diesel,22.32,1582,126.32,4.75
212,Renault Duster 85PS,2014,30000,Diesel,20.46,1461,83.8,5.95
213,Hyundai Creta 1.6,2015,27057,Petrol,15.29,1591,121.3,8.15
214,Maruti Wagon R,2016,8500,Petrol,20.51,998,67.0,4.22
215,Mercedes-Benz New C-Class,2010,30500,Petrol,11.74,1796,186.0,10.5
216,Audi A8 L,2012,56000,Diesel,11.8,2967,246.7,45.0
217,Hyundai i10 Magna,2012,44000,Petrol,19.81,1086,68.05,2.9
218,Skoda Rapid 1.6,2017,10500,Petrol,14.3,1598,103.52,8.9
219,Skoda Superb Style,2017,26000,Petrol,14.67,1798,177.46,26.0
220,Hyundai i20 Active,2018,25166,Petrol,17.19,1197,81.86,8.22
221,Honda Amaze VX,2014,64000,Diesel,25.8,1498,98.6,3.5
222,Maruti Wagon R,2004,61000,Petrol,18.9,998,67.1,1.25
223,Mahindra Verito 1.5,2013,107000,Diesel,21.03,1461,65.0,3.7
224,Mercedes-Benz New C-Class,2018,29161,Diesel,19.27,2143,167.62,39.41
225,Maruti Wagon R,2013,32000,Petrol,22.5,998,67.04,2.65
226,Nissan Terrano XV,2015,46173,Diesel,19.01,1461,108.5,8.92
227,Maruti Swift VDI,2013,47000,Diesel,17.8,1248,74.0,4.1
228,Mini Cooper Convertible,2017,26327,Petrol,16.82,1998,189.08,35.67
229,Ford Figo Diesel,2015,70436,Diesel,0.0,1498,99.0,3.6
230,Tata Indica V2,2007,200000,Diesel,17.2,1396,53.5,0.85
231,Chevrolet Beat LT,2016,60813,Petrol,18.6,1199,76.8,3.32
232,Volkswagen Polo Diesel,2012,45000,Diesel,22.07,1199,73.9,3.6
233,Maruti Swift ZDi,2016,64000,Diesel,22.9,1248,74.0,6.8
234,Ford Figo Diesel,2012,41284,Diesel,20.0,1399,68.05,2.5
235,Toyota Innova Crysta,2019,14165,Diesel,11.36,2755,171.5,19.64
236,Hyundai Santa Fe,2011,67000,Diesel,11.72,2199,194.3,7.0
237,Honda City i-VTEC,2011,32572,Petrol,17.4,1497,117.3,3.87
238,Hyundai i20 1.2,2018,14960,Petrol,18.6,1197,81.83,6.27
239,Mercedes-Benz New C-Class,2015,55980,Diesel,19.27,2143,167.62,18.12
240,Chevrolet Beat Diesel,2013,74000,Diesel,25.44,936,57.6,2.65
241,Hyundai i20 Sportz,2015,56847,Diesel,22.54,1396,88.73,7.2
242,Toyota Innova 2.5,2015,121374,Diesel,12.99,2494,100.6,14.3
243,Maruti Ertiga VDI,2013,52000,Diesel,20.77,1248,88.76,6.9
244,Toyota Innova 2.5,2014,118000,Diesel,12.8,2494,102.0,10.75
245,Hyundai Santro Xing,2007,72000,Petrol,17.0,1086,74.0,0.95
246,Honda City i,2016,33915,Petrol,17.8,1497,117.3,8.09
247,BMW X1 sDrive20d,2014,82002,Diesel,17.05,1995,184.0,18.5
248,Hyundai Grand i10,2017,33000,Diesel,24.0,1120,70.0,4.75
249,Maruti Ciaz 1.3,2016,34000,Diesel,28.09,1248,88.5,8.45
250,Skoda Rapid Leisure,2012,55000,Diesel,20.5,1598,103.6,3.5
251,Hyundai Accent CRDi,2006,160538,Diesel,13.1,1493,82.0,1.8
252,Volkswagen Polo GT,2014,60000,Diesel,19.91,1498,103.6,3.7
253,Honda Jazz 1.2,2017,49575,Petrol,18.7,1199,88.7,7.17
254,Hyundai i10 Era,2010,83000,Petrol,19.81,1086,68.05,1.75
255,Hyundai Tucson 2.0,2018,51346,Diesel,16.38,1995,183.0,21.99
256,Toyota Innova Crysta,2017,43000,Diesel,13.68,2393,147.8,18.65
257,Maruti Omni MPI,2011,35000,Petrol,19.7,796,35.0,1.85
258,Maruti Swift VXI,2017,27872,Petrol,20.4,1197,81.8,5.95
259,Hyundai Grand i10,2014,16514,Petrol,18.9,1197,82.0,3.75
260,Maruti Swift VDI,2012,120000,Diesel,22.9,1248,74.0,3.75
261,Hyundai Verna CRDi,2008,143275,Diesel,22.0,1582,126.2,2.6
262,Hyundai Santro Xing,2006,99000,Petrol,0.0,1086,74.0,1.75
263,Hyundai i20 1.2,2010,52000,Petrol,17.0,1197,80.0,2.8
264,Mercedes-Benz GLE 350d,2017,29819,Diesel,11.57,2987,254.79,61.29
265,Mercedes-Benz New C-Class,2014,57000,Diesel,15.8,2148,170.0,18.0
266,Maruti Ritz ZDi,2014,88500,Diesel,23.2,1248,73.94,4.35
267,Hyundai Creta 1.6,2016,28000,Diesel,19.67,1582,126.2,13.75
268,Maruti A-Star Vxi,2010,67000,Petrol,19.0,998,66.1,2.0
269,Renault Duster 110PS,2016,26000,Diesel,19.64,1461,108.45,10.0
270,Fiat Grande Punto,2010,120000,Diesel,17.8,1248,76.0,1.65
271,BMW X3 xDrive30d,2017,51982,Diesel,16.55,2993,258.0,45.77
272,Hyundai i10 Sportz,2010,36000,Petrol,20.36,1197,78.9,3.25
273,Toyota Innova 2.5,2016,47000,Diesel,12.8,2494,102.0,12.8
274,Maruti Zen VXI,2002,60000,Petrol,17.3,993,60.0,0.55
275,Maruti Swift VDI,2018,31025,Diesel,28.4,1248,74.0,7.15
276,Mahindra Scorpio VLX,2013,105000,Diesel,12.05,2179,120.0,7.0
277,Tata Zest Quadrajet,2017,121900,Diesel,22.95,1248,74.0,3.75
278,Ford EcoSport 1.0,2017,22695,Petrol,18.88,999,123.24,8.5
279,Maruti Swift Dzire,2012,73000,Diesel,23.4,1248,74.0,4.35
280,Maruti Alto 800,2016,32227,Petrol,22.74,796,47.3,3.26
281,Honda City 1.5,2011,55000,Petrol,17.0,1497,118.0,4.21
282,Audi Q7 3.0,2018,11287,Diesel,12.07,2967,241.4,70.36
283,Skoda Laura 1.9,2009,48000,Diesel,17.0,1896,105.0,2.95
284,Hyundai Verna 1.6,2012,54308,Petrol,17.1,1591,121.3,4.28
285,Honda City 1.5,2009,78442,Petrol,16.8,1497,118.0,3.57
286,Hyundai i20 Magna,2013,46000,Diesel,21.9,1396,88.8,3.11
287,Hyundai i20 Sportz,2014,45051,Petrol,15.0,1396,98.6,5.96
288,Volkswagen Vento Diesel,2011,69000,Diesel,20.54,1598,103.6,4.7
289,Honda City i,2014,49000,Petrol,17.4,1497,117.3,6.9
290,Tata Zest Quadrajet,2018,45000,Diesel,22.95,1248,74.0,5.25
291,BMW 5 Series,2015,64000,Diesel,18.48,1995,177.0,28.0
292,Maruti Wagon R,2009,60000,Petrol,18.9,1061,67.0,1.35
293,Honda Jazz VX,2015,62178,Petrol,18.2,1199,88.7,4.85
294,Volkswagen Jetta 2007-2011,2012,58006,Diesel,15.0,1896,105.0,6.7
295,Hyundai i10 Magna,2010,74000,Petrol,20.36,1197,78.9,3.1
296,Mercedes-Benz New C-Class,2015,77771,Diesel,19.27,2143,170.0,18.64
297,Hyundai i10 Magna,2012,45275,Petrol,20.36,1197,78.9,2.8
298,Toyota Innova Crysta,2016,48000,Diesel,13.68,2393,147.8,20.25
299,Audi A6 2011-2015,2015,31652,Diesel,17.68,1968,174.33,26.78
300,Toyota Innova 2.5,2010,109000,Diesel,12.99,2494,100.6,8.26
301,Volkswagen Polo Petrol,2015,31978,Petrol,16.47,1198,73.9,3.89
302,Maruti Alto K10,2011,70000,Petrol,20.92,998,67.1,2.1
303,Honda City i-VTEC,2017,15000,Petrol,18.0,1497,117.3,12.69
304,Tata Indigo LX,2013,59138,Diesel,17.0,1405,70.0,2.58
305,Audi A6 2011-2015,2014,61726,Diesel,17.68,1968,174.33,20.77
306,Mercedes-Benz GLA Class,2015,48000,Diesel,17.9,2143,136.0,20.26
307,Hyundai Santro Xing,2006,58000,Petrol,0.0,1086,74.0,1.5
308,Maruti Swift VDI,2011,60020,Diesel,17.8,1248,74.0,2.5
309,Maruti Celerio VXI,2014,77815,Petrol,23.1,998,67.04,4.25
310,Mercedes-Benz GLE 250d,2017,29000,Diesel,17.9,2143,201.15,57.0
311,Land Rover Range,2017,44000,Diesel,12.7,2179,187.7,44.0
312,Volkswagen Vento Diesel,2011,108626,Diesel,20.54,1598,103.6,3.65
313,Maruti Omni 8,2012,71791,Petrol,14.0,796,35.0,2.05
314,Honda Brio 1.2,2012,91931,Petrol,18.5,1198,86.8,3.13
315,Tata Sumo Delux,2000,158000,Diesel,14.07,2956,83.1,1.5
316,Tata Indica Vista,2012,91183,Diesel,18.0,1248,75.0,2.85
317,Maruti Wagon R,2012,65000,Petrol,18.9,998,67.1,2.65
318,Mahindra XUV500 W8,2015,88428,Diesel,16.0,2179,140.0,10.6
319,Tata Indigo LS,2008,138000,Diesel,17.1,1396,70.0,1.25
320,Maruti Ertiga Paseo,2018,18000,Petrol,16.02,1373,93.7,8.25
321,Honda Accord 2.4,2011,60000,Petrol,11.7,2354,177.6,4.45
322,Maruti Swift Dzire,2012,48000,Diesel,19.3,1248,73.9,3.7
323,Ford Fiesta EXi,2009,160000,Diesel,17.8,1399,68.0,2.8
324,Honda City ZX,2008,40000,Petrol,17.7,1497,78.0,1.8
325,Audi A6 2011-2015,2014,51495,Diesel,17.68,1968,174.33,21.95
326,BMW 6 Series,2011,30000,Diesel,9.52,2993,313.0,49.0
327,Audi Q7 45,2017,97430,Diesel,14.75,2967,245.0,62.67
328,Maruti Zen Estilo,2008,42496,CNG,26.3,998,67.1,1.4
329,Hyundai i20 1.4,2012,83000,Diesel,23.0,1396,90.0,5.5
330,Hyundai i10 Sportz,2009,37000,Petrol,16.95,1197,78.9,2.95
331,Honda Jazz 1.2,2016,28503,Petrol,19.0,1199,88.7,6.86
332,Maruti Swift VDI,2015,76496,Diesel,25.2,1248,74.0,6.15
333,Hyundai i20 Asta,2011,79152,Petrol,18.5,1197,82.85,3.3
334,Volkswagen Polo Petrol,2011,32000,Petrol,16.47,1198,73.9,2.55
335,Maruti Alto LXi,2009,35000,Petrol,19.7,796,46.3,1.5
336,Toyota Corolla H4,2004,105000,Petrol,11.3,1794,125.0,2.5
337,Maruti Alto LXi,2006,56000,Petrol,19.7,796,46.3,1.4
338,Tata Manza ELAN,2012,73000,Diesel,21.12,1248,88.8,3.4
339,Maruti Alto LXi,2012,38000,Petrol,19.7,796,46.3,2.25
340,Skoda Octavia Ambition,2013,775000,Diesel,19.3,1968,141.0,7.5
341,Toyota Corolla H4,2008,80000,Petrol,11.3,1794,125.0,2.8
342,Hyundai i20 Asta,2016,24973,Petrol,18.6,1197,81.83,7.66
343,Maruti Vitara Brezza,2016,45000,Diesel,24.3,1248,88.5,7.15
344,Honda City 1.5,2010,87430,Petrol,17.0,1497,118.0,3.5
345,Tata Indica Vista,2014,133944,Diesel,18.0,1248,75.0,3.5
346,Honda Amaze S,2013,57000,Diesel,25.8,1498,98.6,3.45
347,Hyundai EON D,2016,27904,Petrol,21.1,814,55.2,3.55
348,BMW 3 Series,2015,30717,Diesel,21.76,1995,190.0,25.99
349,Hyundai Verna 1.6,2012,80000,Diesel,22.32,1582,126.32,5.25
